,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
334,"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.0245,0.0275,0.02,0.8163265306122449,29.684601113172544,1.0,0.01932625,5.294722222222223,0.9905817529472065,0.625,0.8111326792927969,0.7717996289424861
351,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.0275,0.0245,0.02,0.7272727272727273,29.68460111317254,1.0,0.01932625,3.5768333333333335,0.993637532133676,0.625,0.7204230930525138,0.7717996289424861
333,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.024,0.0285,0.02,0.8333333333333334,29.239766081871345,1.0,0.019316,5.8290000000000015,0.9895491803278689,0.6153846153846154,0.828443986961743,0.7675438596491229
352,"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN FRAME ANTIQUE WHITE '})",0.0285,0.024,0.02,0.7017543859649122,29.23976608187134,1.0,0.019316,3.2724705882352936,0.9941327843540916,0.6153846153846154,0.6944204774230658,0.7675438596491229
344,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.03,0.023,0.02,0.6666666666666667,28.985507246376816,1.0,0.01931,2.9310000000000005,0.9953608247422681,0.6060606060606061,0.6588195155237121,0.7681159420289856
341,"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.023,0.03,0.02,0.8695652173913044,28.985507246376816,1.0,0.01931,7.436666666666671,0.9882292732855682,0.6060606060606061,0.8655311519497983,0.7681159420289856
340,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.0225,0.0325,0.02,0.888888888888889,27.350427350427353,1.0,0.01926875,8.707500000000005,0.985613810741688,0.5714285714285714,0.8851564743037612,0.7521367521367521
345,"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.0325,0.0225,0.02,0.6153846153846154,27.350427350427353,1.0,0.01926875,2.5415000000000005,0.9958010335917312,0.5714285714285714,0.6065315758410388,0.7521367521367521
322,"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.0285,0.03,0.022,0.7719298245614035,25.730994152046783,1.0,0.021144999999999997,4.2530769230769225,0.9893323351892573,0.6027397260273972,0.7648761077952613,0.7526315789473683
319,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.03,0.0285,0.022,0.7333333333333333,25.73099415204678,1.0,0.021144999999999997,3.6431249999999995,0.9908622305529522,0.6027397260273972,0.7255103791387888,0.7526315789473683
337,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH'})",0.025,0.0315,0.02,0.7999999999999999,25.396825396825395,1.0,0.0192125,4.8424999999999985,0.9852564102564103,0.547945205479452,0.7934950955085183,0.7174603174603174
348,"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.0315,0.025,0.02,0.6349206349206349,25.396825396825395,1.0,0.0192125,2.670652173913043,0.9918688693856479,0.547945205479452,0.6255596255596255,0.7174603174603174
320,"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.0275,0.0325,0.022,0.7999999999999999,24.615384615384613,1.0,0.02110625,4.837499999999999,0.9865038560411311,0.5789473684210527,0.79328165374677,0.7384615384615384
321,"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.0325,0.0275,0.022,0.6769230769230768,24.615384615384613,1.0,0.02110625,3.010119047619047,0.9916020671834626,0.5789473684210527,0.6677872256278425,0.7384615384615384
