CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,100.0,35.3,33.4,42.5,38.0,35.9,37.7,34.2,33.6,36.199999999999996,42.199999999999996,49.5,37.6,28.299999999999997,24.4,30.3,26.3,30.3,28.299999999999997,26.0,25.5,31.5,30.5,40.699999999999996,19.7
2010-01,100.0,20.599999999999998,31.1,30.5,26.400000000000002,30.0,25.8,23.0,27.900000000000002,31.900000000000002,30.3,17.2,22.2,17.8,18.8,15.1,23.5,19.8,18.5,19.6,24.3,19.3,24.5,5.7,
2010-02,100.0,23.799999999999997,22.5,29.099999999999998,24.6,20.1,19.3,28.599999999999998,25.4,27.500000000000004,11.5,12.6,15.2,17.4,12.3,20.1,16.0,16.3,14.399999999999999,23.0,23.0,16.3,5.8999999999999995,,
2010-03,100.0,19.0,23.0,24.2,23.3,20.3,24.6,30.2,27.500000000000004,10.8,11.5,14.2,20.1,16.3,20.1,16.900000000000002,17.4,15.6,17.599999999999998,20.1,21.2,7.9,,,
2010-04,100.0,19.400000000000002,19.400000000000002,16.3,18.4,22.400000000000002,27.6,26.200000000000003,10.5,10.9,7.5,13.900000000000002,13.900000000000002,15.6,15.6,15.6,13.900000000000002,15.0,18.0,22.400000000000002,5.800000000000001,,,,
2010-05,100.0,15.7,16.900000000000002,17.299999999999997,17.7,25.6,21.3,12.6,5.8999999999999995,8.3,11.4,13.4,15.4,15.4,9.8,12.6,13.8,16.5,15.4,4.7,,,,,
2010-06,100.0,17.4,18.9,20.4,23.0,28.499999999999996,12.6,8.9,8.1,11.899999999999999,10.7,13.700000000000001,14.799999999999999,12.2,11.1,12.2,13.3,20.4,5.2,,,,,,
2010-07,100.0,15.6,18.3,29.599999999999998,28.999999999999996,14.000000000000002,11.3,14.499999999999998,14.499999999999998,11.3,13.4,14.499999999999998,13.4,13.4,19.400000000000002,17.2,23.7,8.1,,,,,,,
2010-08,100.0,20.4,29.599999999999998,32.1,17.299999999999997,11.700000000000001,9.9,12.3,13.600000000000001,13.0,13.0,12.3,15.4,18.5,17.9,19.8,6.800000000000001,,,,,,,,
2010-09,100.0,22.6,23.5,12.3,9.1,10.299999999999999,13.600000000000001,9.9,12.8,13.200000000000001,11.5,9.9,21.8,16.5,16.0,5.3,,,,,,,,,
2010-10,100.0,25.7,14.6,12.5,8.799999999999999,8.200000000000001,13.0,13.8,10.6,9.3,10.6,13.0,19.1,23.1,6.9,,,,,,,,,,
2010-11,100.0,17.5,9.2,9.5,7.7,8.6,12.9,9.8,8.6,8.9,11.1,14.499999999999998,25.5,6.2,,,,,,,,,,,
2010-12,100.0,9.2,5.3,9.2,11.799999999999999,6.6000000000000005,5.3,9.2,5.3,2.6,9.2,19.7,2.6,,,,,,,,,,,,
2011-01,100.0,16.900000000000002,21.099999999999998,19.7,21.099999999999998,15.5,15.5,12.7,11.3,21.099999999999998,25.4,11.3,,,,,,,,,,,,,
2011-02,100.0,16.1,15.299999999999999,18.5,21.8,15.299999999999999,15.299999999999999,14.499999999999998,14.499999999999998,17.7,5.6000000000000005,,,,,,,,,,,,,,
2011-03,100.0,18.4,21.8,20.1,22.3,15.1,20.7,20.1,24.0,9.5,,,,,,,,,,,,,,,
2011-04,100.0,25.5,19.8,19.8,17.9,23.599999999999998,17.9,25.5,11.3,,,,,,,,,,,,,,,,
2011-05,100.0,23.400000000000002,24.3,16.2,21.6,20.7,26.1,11.700000000000001,,,,,,,,,,,,,,,,,
2011-06,100.0,23.1,21.3,26.900000000000002,20.4,28.7,8.3,,,,,,,,,,,,,,,,,,
2011-07,100.0,21.6,30.4,27.500000000000004,34.300000000000004,15.7,,,,,,,,,,,,,,,,,,,
2011-08,100.0,27.400000000000002,31.1,26.400000000000002,17.0,,,,,,,,,,,,,,,,,,,,
2011-09,100.0,27.0,37.6,14.799999999999999,,,,,,,,,,,,,,,,,,,,,
2011-10,100.0,32.1,15.8,,,,,,,,,,,,,,,,,,,,,,
2011-11,100.0,14.099999999999998,,,,,,,,,,,,,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,,,,,,,,,,,,,
